hyperlink,Link,Brand,Model,Min Micron (µm),Max Micron (µm),Grind Range (µm),Total Steps/Clicks,Step Type,Approx. µm per Step/Click,Grinder Characteristics & Coffee Brewing Notes,Verification Notes,notes formula
K3 Push,https://honestcoffeeguide.com/compak-k3-push-grind-settings/,Compak,K3 Push,275,1290,1015,30,External stepless,33.83333333,"This commercial-style on-demand espresso grinder uses 58mm flat stainless steel burrs driven by a 210W direct-drive motor at around 1340 RPM. Build is heavy cast metal (about 6kg) with a portafilter push-to-grind cradle for hands-free dosing. Primarily an espresso grinder, with stepless micrometric adjustment giving fine control in the espresso-to-filter range. Solid low-retention single-dosing performance for home and light commercial use.",Stepless (Compak) per official - micron/step NA,
K3 Touch,https://honestcoffeeguide.com/compak-k3-touch-grind-settings/,Compak,K3 Touch,275,1290,1015,30,External stepless,33.83333333,The K3 Touch shares the 58mm flat stainless steel burr set and 210W motor of the K3 line but swaps the push cradle for a touchscreen interface with timed/programmable dosing. Stepless micrometric grind adjustment provides very fine resolution across espresso and filter ranges. Heavy metal-bodied build aimed at espresso-focused home and prosumer users. Direct-drive single-dose grinding with relatively low retention.,Stepless (Compak) per official - micron/step NA,
K3 Touch Advanced,https://honestcoffeeguide.com/compak-k3-touch-advanced-grind-settings/,Compak,K3 Touch Advanced,275,1290,1015,30,External stepless,33.83333333,"The K3 Touch Advanced is the top K3 variant with 58mm flat stainless steel burrs, 210W direct-drive motor and an enhanced touchscreen with more precise programmable dosing and grind memory. Stepless micrometric collar allows continuous fine adjustment, well suited to dialing in espresso. Robust all-metal construction for prosumer espresso use, designed for single-dosing with low retention.",Stepless (Compak) per official - micron/step NA,
Cone Grinder C330,https://honestcoffeeguide.com/cores-cone-grinder-c330-grind-settings/,Cores,Cone Grinder C330,330,1400,1070,35,Stepless,30.57142857,"A compact Japanese electric grinder using a conical burr set with a straight-down grind path to minimize retention and keep grounds fresh. Runs a 150W motor at roughly 420 RPM with about 240g hopper capacity, weighing around 2.5kg. Infinitely adjustable from very fine to coarse, positioned as an all-rounder that can also pull espresso. Marketed to specialty drinkers wanting a uniform grind with minimal fines and easy washable parts.",Stepless (Cores) per official - micron/step NA,
CBM-18,https://honestcoffeeguide.com/cuisinart-cbm-18-grind-settings/,Cuisinart,CBM-18,450,1400,950,18,External stepped dial,52.77777778,"A programmable automatic burr mill with flat-style burrs and an 18-position stepped grind dial spanning fine to coarse, plus a cup-count timer. Plastic-bodied consumer machine with an integrated bean hopper and grounds chamber. Best suited to drip, pour over and French press; the finest setting is too coarse for true espresso. Grind consistency is modest, typical of an entry-level home burr grinder.",OK - range matches source,
DBM-8,https://honestcoffeeguide.com/cuisinart-dbm-8-grind-settings/,Cuisinart,DBM-8,420,1400,980,18,External stepped dial,54.44444444,"The Supreme Grind Automatic Burr Mill uses flat burrs with an 18-step grind selector and a separate 4-to-18 cup dose dial. Inexpensive plastic-bodied consumer grinder with a clear bean hopper and removable grounds container. Aimed at drip, pour over and French press rather than espresso, as even its finest setting stays in the medium-fine range. Consistency and fines control are basic, appropriate for casual home use.",OK - range matches source,
KG79,https://honestcoffeeguide.com/delonghi-kg79-grind-settings/,Delonghi,KG79,365,1250,885,17,External stepped dial,52.05882353,"An entry-level electric burr grinder with flat burrs and a stepped dial offering settings from fine to coarse with a cup-quantity selector. Lightweight plastic body with bean hopper and removable grounds bin. Intended as an all-round home grinder for drip, French press and similar brew methods; the finest setting is not fine enough for proper espresso. Grind uniformity is modest, typical for the price class.",OK - range matches source,
KG89,https://honestcoffeeguide.com/delonghi-kg89-grind-settings/,Delonghi,KG89,365,1250,885,17,External stepped dial,52.05882353,"A step up from the KG79 with a larger bean hopper and grounds capacity, using the same flat-burr design and a stepped fine-to-coarse dial plus cup-count selector. Plastic-bodied consumer machine for everyday home use. Best for drip, pour over and French press rather than espresso, since even the finest setting remains medium-fine. Grind consistency is basic and consumer-grade.",OK - range matches source,
Essense Go,https://honestcoffeeguide.com/epeios-essense-go-grind-settings/,Epeios,Essense Go,250,1400,1150,80,External stepless,14.375,"A compact USB-rechargeable portable electric grinder using a 38mm multi-flute (10-blade) conical burr, with a roughly 50g hopper and travel carrying case. The grind dial offers fine stepless-style adjustment described as up to 80 levels from espresso to coarse. Designed as a travel and all-round grinder powered from any 5V/2A USB source. Conical burr gives reasonable consistency for its portable category.",OK - range matches source,
etz-I (Regular),https://honestcoffeeguide.com/etzinger-etz-i-regular-grind-settings/,Etzinger,etz-I (Regular),160,1180,1020,88,External stepped dial,11.59090909,A premium Swiss manual grinder using a 32mm hardened stainless steel (62 HRC) conical burr in a Rotating Ring Burr (RRB) system where the outer ring rotates around a stationary inner cone. Anodized aluminium body (about 705g) with a Tritan grounds cup and an Antistatic-Jig that compresses grounds to cut static and clumping. External stepped adjustment offers 88 precise clicks. A true all-rounder handling everything from espresso to French press with high uniformity and low retention.,micron/step 20 per Etzinger official (88 steps x 0.02mm),
etz-I (Trim),https://honestcoffeeguide.com/etzinger-etz-i-trim-grind-settings/,Etzinger,etz-I (Trim),160,1180,1020,88,External stepped dial,11.59090909,"The Trim is the slimmer etz-I variant with a 48mm midsection and lighter weight (about 665g) but the same 32mm hardened stainless steel conical RRB burr and Antistatic-Jig as the Regular. Anodized aluminium build with Tritan grounds cup and 88-click external stepped adjustment. Burr geometry and grind range match the Regular, so it is an all-round manual grinder from espresso to filter. Chosen for a more compact, ergonomic hold while keeping the same grind performance.",micron/step 20 per Etzinger official (88 steps x 0.02mm),
etz-U,https://honestcoffeeguide.com/etzinger-etz-u-grind-settings/,Etzinger,etz-U,160,1180,1020,88,External stepped dial,11.59090909,"The etz-U is the retention-free, no-Antistatic-Jig sibling of the etz-I, aimed at users comfortable with RDT/WDT techniques. It uses the same 32mm hardened stainless steel conical RRB burr geometry and anodized aluminium construction with 88-click external stepped adjustment. Cones share geometry with the etz-I but use different threads and are not interchangeable. A high-performance all-round manual grinder for espresso through filter with very low retention.",micron/step 20 per Etzinger official (88 steps x 0.02mm),
Atom 60,https://honestcoffeeguide.com/eureka-atom-60-grind-settings/,Eureka,Atom 60,170,1400,1230,60,External stepless,20.5,"A single-dose-friendly electric grinder built around 60mm flat hardened-steel burrs in a metal body, designed primarily for espresso but capable across the full range. Uses Eureka stepless micrometric worm-gear adjustment for very fine, repeatable dialing. Relatively quiet for a 60mm grinder with low retention and clump-crushing technology. A prosumer all-rounder leaning espresso, suited to home and light commercial use.",Stepless micrometric (Eureka) per official - micron/step NA,
Atom 75,https://honestcoffeeguide.com/eureka-atom-75-grind-settings/,Eureka,Atom 75,170,1400,1230,75,External stepless,16.4,"The Atom 75 uses larger 75mm flat burrs in a robust metal chassis for faster, cooler grinding and excellent espresso consistency, while still covering filter grinds. Stepless micrometric adjustment gives continuous fine control with high repeatability. Aimed at demanding home users and cafes, it offers low retention and quiet operation for its burr size. A flagship Atom espresso-focused all-rounder.",Stepless micrometric (Eureka) per official - micron/step NA,
Drogheria MCD4,https://honestcoffeeguide.com/eureka-drogheria-mcd4-grind-settings/,Eureka,Drogheria MCD4,130,876,746,80,Stepped dial,9.325,"A classic shop-style doser grinder using 50mm flat burrs in a tall metal-and-plastic body with a traditional dosing chamber and lever. Stepped grind collar with a numbered fine-to-coarse range. The relatively coarse maximum and fine minimum suit espresso and traditional cafe service rather than coarse brew methods. A simpler, older-design Eureka aimed at espresso and retail (drogheria) use.",OK - range matches source,
Mignon Classico,https://honestcoffeeguide.com/eureka-mignon-classico-grind-settings/,Eureka,Mignon Classico,195,1400,1205,24,External stepless,50.20833333,"A compact home grinder using 50mm flat hardened-steel burrs in the popular Mignon chassis, with stepless micrometric adjustment measured in rotations plus fractional numbers. Primarily an espresso grinder but covers filter and French press across its wide range. Low retention with quiet, direct-drive operation and a small footprint. A strong value all-rounder leaning espresso for home use.",Stepless micrometric (Eureka) per official - micron/step NA,
Mignon Oro,https://honestcoffeeguide.com/eureka-mignon-oro-grind-settings/,Eureka,Mignon Oro,190,950,760,100,External stepless,7.6,"A filter-oriented Mignon variant fitted with larger 65mm flat burrs tuned for clarity in pour over and other brewed methods, reflected in its narrower, finer maximum range. Stepless micrometric adjustment provides precise dialing across its espresso-to-filter span. Compact metal-bodied home grinder with low retention and quiet operation. Best suited to filter and all-round brewing with espresso capability.",Stepless micrometric (Eureka) per official - micron/step NA,
Mignon Oro XL,https://honestcoffeeguide.com/eureka-mignon-oro-xl-grind-settings/,Eureka,Mignon Oro XL,190,950,760,100,External stepless,7.6,The Oro XL shares the 65mm flat-burr filter-tuned setup of the Oro in a slightly enhanced package with larger hopper and dosing accommodation. Stepless micrometric adjustment gives fine continuous control over grind size. Compact metal-bodied home grinder optimized for filter and pour over with espresso capability. Low retention and quiet operation typical of the Mignon line.,Stepless micrometric (Eureka) per official - micron/step NA,
Mignon Silenzio,https://honestcoffeeguide.com/eureka-mignon-silenzio-grind-settings/,Eureka,Mignon Silenzio,195,1400,1205,48,External stepless,25.10416667,"An espresso-focused Mignon with 50mm flat hardened-steel burrs and added sound-dampening for notably quiet operation. Stepless micrometric adjustment is read in rotations plus numbers for very fine repeatable dialing. Compact metal body with low retention and direct-drive motor, well suited to home espresso while still covering filter and French press. A popular quiet all-rounder leaning espresso.",Stepless micrometric (Eureka) per official - micron/step NA,
Mignon Specialità,https://honestcoffeeguide.com/eureka-mignon-specialita-grind-settings/,Eureka,Mignon Specialità,195,1400,1205,48,External stepless,25.10416667,"A specialty-oriented Mignon using 55mm flat hardened-steel burrs with stepless micrometric adjustment read in rotations plus numbers, often paired with a touch display and timed dosing. Compact, quiet metal-bodied home grinder leaning espresso but covering the full filter range. Low retention and excellent dialing precision for the price. One of the most popular prosumer home espresso all-rounders.",Stepless micrometric (Eureka) per official - micron/step NA,
Ode Brew Grinder Gen 1,https://honestcoffeeguide.com/fellow-ode-brew-grinder-gen-1-grind-settings/,Fellow,Ode Brew Grinder Gen 1,550,1400,850,31,External stepped dial,27.41935484,"A countertop electric grinder with professional-grade 64mm flat burrs built purely for filter/brewed coffee (pour over, drip, batch, French press) and not espresso. Uses 11 marked settings with 31 detented click steps via a front dial, with single-dose loading and a magnetic catch cup. Stainless steel flat burrs deliver an even, brew-focused particle distribution; aftermarket SSP 64mm burr upgrades are available. Solid metal build aimed at the premium home-brewing market.",OK - range matches source,
Ode Brew Grinder Gen 2,https://honestcoffeeguide.com/fellow-ode-brew-grinder-gen-2-grind-settings/,Fellow,Ode Brew Grinder Gen 2,275,1160,885,31,External stepped dial,28.5483871,"An electric flat-burr brew grinder using upgraded 64mm stainless steel burrs designed in-house by Fellow, extending the fine range down toward 200-300 microns versus the Gen 1. Retains the 11-setting front dial with 31 click steps, single-dose workflow, anti-static technology and auto-stop. Built for filter methods (pour over, drip, batch, French press) rather than espresso, with improved particle uniformity. Heavy metal construction targeting serious home brewers.",OK - range matches source,
Opus,https://honestcoffeeguide.com/fellow-opus-grind-settings/,Fellow,Opus,230,1160,930,41,External stepped dial,22.68292683,"A 40mm conical-burr electric grinder (Fellow six-blade C6-40 Burly Burrs) aimed at all-round home brewing from espresso through filter to cold brew. Offers 41 stepped grind settings via an external collar, single-dose hopper, anti-static technology and a quiet motor. The conical steel burrs give it espresso capability the filter-only Ode lacks, making it Fellow versatile budget-friendly all-rounder. Mostly plastic body with metal accents.",OK - range matches source,
Pietro (B-Modal Burrs),https://honestcoffeeguide.com/fiorenzato-pietro-b-modal-burrs-grind-settings/,Fiorenzato,Pietro (B-Modal Burrs),170,920,750,100,External micro-stepped dial,7.5,"A premium manual hand grinder fitted with large 58mm flat steel M340 burrs (the same alloy used in Fiorenzato commercial grinders), unusually big for a hand grinder. The B-Modal (multipurpose) burr set is versatile across espresso and filter, giving a balanced cup with sweetness, body and clarity. Adjustment is micro-stepped and read in two parts (Number.Step), with a vertical burr orientation, aluminium and food-grade plastic body and roughly 60g capacity. Built for enthusiasts wanting one grinder for both espresso and brew.",micron/step 15 per Fiorenzato Pietro official,
Pietro (M-Modal Burrs),https://honestcoffeeguide.com/fiorenzato-pietro-m-modal-burrs-grind-settings/,Fiorenzato,Pietro (M-Modal Burrs),230,980,750,100,External micro-stepped dial,7.5,"The same 58mm flat-steel-burr manual hand grinder as the B-Modal but fitted with M-Modal (filter-specialist) burrs whose geometry produces more uniform particles for maximum separation and cup clarity. Best suited to pour over and other filter methods rather than espresso. Micro-stepped adjustment read in two parts (Number.Step), commercial-grade M340 burr material, aluminium and food-grade plastic construction with around 60g capacity. Aimed at filter-focused enthusiasts chasing flavour clarity.",micron/step 15 per Fiorenzato Pietro official,
Allground,https://honestcoffeeguide.com/fiorenzato-sanremo-allground-grind-settings/,Sanremo,Allground,130,735,605,73,External stepped collar (numbered dots),8.287671233,"A versatile single-dose electric grinder (co-developed with Fiorenzato, mechanically near-identical to its counterpart) using 64mm titanium-coated flat steel burrs. A stepped, clearly-labelled adjustment collar marked in numbered dots covers espresso, moka and filter ranges, with each step clicking for easy return to a setting. Offers two programmable timed doses plus continuous grinding and low retention. Sturdy build aimed at home and light commercial use across all brew methods.",OK - source brands it Fiorenzato (Sanremo); no official micron/step,
Allground Sense,https://honestcoffeeguide.com/fiorenzato-sanremo-allground-sense-grind-settings/,Sanremo,Allground Sense,130,735,605,73,External stepped collar (numbered dots),8.287671233,"An evolution of the Allground adding a touchscreen/digital interface (the Sense control system) while keeping the same 64mm titanium-coated flat steel burrs and grind range. Uses the same numbered-dot stepped collar covering espresso through filter, with programmable timed dosing and continuous grind. Single-dose oriented with low retention and a robust metal build. Targeted at home and prosumer users wanting all-method versatility with smarter dosing controls.",OK - source brands it Fiorenzato (Sanremo); no official micron/step,
Royal Grinder,https://honestcoffeeguide.com/flair-espresso-royal-grinder-grind-settings/,Flair,Royal Grinder,0,1400,1400,72,External stepped dial (Lift-Turn-Lock crown),19.44444444,"A premium manual hand grinder built around Swiss-made 47mm Etzinger hardened tool-steel conical burrs, designed to span espresso to French press. Adjustment is via a Lift, Turn and Lock crown offering 72 stepped clicks of roughly 0.02mm (20 microns) each for repeatable settings. Features a full-wrap silicone grip and a robust drive system for stable, repeatable grinding. Aimed at espresso-focused users wanting precise, repeatable manual grinding.",OK - range matches source,
R-220,https://honestcoffeeguide.com/fuji-royal-r-220-grind-settings/,Fuji Royal,R-220,290,1090,800,20,External stepped numbered dial,40,"A heavy Japanese-made single-speed electric grinder (Mirukko line) famous for its vertical ghost-teeth conical burrs, with the burr material switched from cast iron to stainless in the mid-2010s. The numbered 1-10 dial after calibration sets filter/brew grinds; espresso is only achievable with the optional flat burr set installed. The fast motor and tank-like body stay planted without vibration. Prized by enthusiasts for durability and distinctive grind character.",OK - range matches source,
Arco,https://honestcoffeeguide.com/goat-story-arco-grind-settings/,Goat Story,Arco,0,1400,1400,240,External stepped collar (rotation.number),5.833333333,"A compact 2-in-1 grinder that works as both an electric and a manual hand grinder, using a 47/32mm conical steel burr held by a 10mm shaft on twin precision bearings. Adjustment uses a stepped collar read as rotation-and-number (rotations from zero), offering around 240 grind settings spanning Turkish and espresso through to cold brew. Single-dose with near-zero retention and a high-speed AC motor geared down to about 360 rpm. An SCA award-winning, travel-friendly all-rounder.",OK - range matches source,
Precision Coffee Grinder,https://honestcoffeeguide.com/handground-precision-coffee-grinder-grind-settings/,Handground,Precision Coffee Grinder,350,1400,1050,15,External stepped numbered dial,70,"An ergonomic manual hand grinder with a side-mounted crank and 40mm conical ceramic burrs, designed for filter and brewed methods rather than true espresso. Offers 8 main numbered stepped settings with half-steps in between for 15 grind sizes, selected via an external dial. The ceramic burr is stabilised at three points on a stainless steel shaft to reduce wobble and improve consistency. Grind quality is even at medium settings but less consistent on coarse; aimed at home brewers wanting repeatable, easy adjustment.",OK - range matches source,
Mini Mill PLUS,https://honestcoffeeguide.com/hario-mini-mill-plus-grind-settings/,Hario,Mini Mill PLUS,200,1400,1200,20,Internal stepped nut (click-counted),60,"A compact manual hand grinder with conical ceramic burrs that stay sharp and transfer little heat, housed in a methacrylate-resin body with a stainless-steel shaft and handle, holding about 24g. Grind size is set by a burr-mounted adjustment nut that clicks: tighten fully, then back off counting clicks. Low retention thanks to the drop-through conical design, but coarse-end consistency is limited by burr wobble; aimed at travel and entry-level filter/espresso brewing.",OK - range matches source,
Mini Mill Slim,https://honestcoffeeguide.com/hario-mini-mill-slim-grind-settings/,Hario,Mini Mill Slim,200,1400,1200,20,Internal stepped nut (click-counted),60,"A slim, very portable manual grinder using conical ceramic burrs in a plastic (methacrylate-resin) body with a stainless shaft, capacity around 24g. Grind setting is adjusted via an internal stepped click nut beneath the burrs, with no printed scale. The base model suffers from upper-burr wobble that hurts grind uniformity, especially at coarser settings; best suited to budget single-cup filter and travel use.",OK - range matches source,
Mini Mill Slim PRO,https://honestcoffeeguide.com/hario-mini-mill-slim-pro-grind-settings/,Hario,Mini Mill Slim PRO,200,1400,1200,20,Internal stepped nut (click-counted),60,"An upgraded slim manual grinder keeping the conical ceramic burrs but adding a cast-aluminium handle, stainless-steel body and a tighter burr mount that reduces the wobble of the base Slim for noticeably better grind consistency. Capacity is about 24g and adjustment is a stepped click wheel/nut under the burrs. The sturdier build and improved alignment make it a strong portable filter grinder; ceramic burrs keep grinding cool and durable.",OK - range matches source,
Skerton,https://honestcoffeeguide.com/hario-skerton-grind-settings/,Hario,Skerton,350,1400,1050,90,Stepless internal nut,11.66666667,"A classic tabletop manual grinder with conical ceramic burrs, a glass catch jar and a hand crank, holding roughly 100g. Grind size is set steplessly via an internal nut beneath the burrs, requiring partial disassembly to change. The original is hampered by an unstabilised upper burr that allows side play, causing inconsistent and bimodal grinds at coarser settings; ceramic burrs run cool but the model is now discontinued in favour of the Plus and Pro.",Stepless adjustment (Hario) - micron/step NA,
Skerton PLUS,https://honestcoffeeguide.com/hario-skerton-plus-grind-settings/,Hario,Skerton PLUS,350,1400,1050,90,Stepless internal nut,11.66666667,"A revised version of the original Skerton with conical ceramic burrs, a glass jar and a roughly 100g capacity, adding a partial upper-burr stabiliser and a hexagonal hopper to curb beans flying out. Grind adjustment remains a stepless internal nut that needs the burr assembly partly dismantled to change. Consistency improved over the original but the coarse range is still criticised, leading Hario to release the Pro; ceramic burrs keep heat low for filter and French press brewing.",Stepless adjustment (Hario) - micron/step NA,
Skerton PRO,https://honestcoffeeguide.com/hario-skerton-pro-grind-settings/,Hario,Skerton PRO,350,1400,1050,90,External stepped dial,11.66666667,"The most refined Skerton, using conical ceramic burrs with a fully stabilised upper burr and spring-loaded lower burr for markedly better alignment and coarse-grind consistency. Crucially it moves to an external stepped dial beneath the burrs so grind size can be changed without disassembly, plus a strengthened crank and plastic hopper lid. With a glass jar and around 100g capacity, it is a budget-friendly cool-running grinder well suited to pour-over, French press and cold brew.",OK - range matches source,
Smart-G,https://honestcoffeeguide.com/hario-smart-g-grind-settings/,Hario,Smart-G,230,1420,1190,14,Stepless bottom nut,85,"An ultra-compact manual travel grinder with conical ceramic burrs and a largely methacrylate-resin body, stainless shaft and roughly 24g capacity. Grind size is set by an unmarked bottom adjustment nut (clockwise finer, anticlockwise coarser) with no printed scale, so settings are dialled by feel and testing. It can be converted to electric via Hario Electro-Solo/motor attachment; ceramic burrs grind cool and the slim profile prioritises portability over coarse-grind precision.",Stepless adjustment (Hario) - micron/step NA,
V60 EVC-8B,https://honestcoffeeguide.com/hario-v60-evc-8b-grind-settings/,Hario,V60 EVC-8B,150,1250,1100,39,External stepped dial (39 levels),28.20512821,"A compact electric burr grinder using a stainless-steel conical burr, with a footprint about the size of A5 paper and a hopper/catch capacity near 100g. It offers 39 stepped fineness levels covering coffee press through espresso, with an angled outlet to reduce clogging and a washable outer burr for easy cleaning. The stainless conical burr produces an even particle size; aimed at home brewers wanting consistent push-button grinding across many brew methods.",OK - range matches source,
V60 EVCG-8B-E,https://honestcoffeeguide.com/hario-v60-evcg-8b-e-grind-settings/,Hario,V60 EVCG-8B-E,320,900,580,39,External stepped dial (39 levels),14.87179487,"An electric V60 grinder with a stainless-steel conical burr and a compact body, providing 39 stepped grind levels selected on a dial for brew methods from press to espresso. Capacity is around 100g with an angled, anti-clog outlet and a removable washable outer burr. The conical burr grinds evenly with minimal fines; this E variant is the European/standard full-size model designed for everyday home filter and drip brewing.",OK - range matches source,
101,https://honestcoffeeguide.com/helor-101-grind-settings/,Helor,101,0,1400,1400,80,Stepless,17.5,"A premium unibody manual grinder machined from a single block of 6000-series aluminium, weighing about 575g with roughly 25g capacity and a 38mm Italian-made conical steel burr set. It uses a stepless adjustment knob (with a marked solid-dot reference among the dots to count rotations) for fine control, and ships with interchangeable conventional (filter-oriented) and contemporary (espresso-oriented) burrs. The unibody build maximises burr alignment for excellent consistency, and a universal interface lets it be driven by a power tool.",Stepless (Helor) per official - micron/step NA,
106 Flux,https://honestcoffeeguide.com/helor-106-flux-grind-settings/,Helor,106 Flux,0,1400,1400,60,Stepless,23.33333333,"A high-end, heavy (about 1.785kg) manual grinder built on a unibody machined chassis fitted with 71mm Mazzer conical burrs (as used in the Mazzer Robur), aimed primarily at espresso. It uses a stepless adjustment with 60 reference marks and a multi-gear reduction crank that makes turning easy while taking around 55 seconds for 18g. A magnetic catch cup fits a 58mm basket with near-zero retention, and grounds come out fluffy and clump-free, giving cafe-grade espresso results at a flagship price.",Stepless (Helor) per official - micron/step NA,
H1,https://honestcoffeeguide.com/heycafe-h1-grind-settings/,Heycafe,H1,70,1060,990,80,Stepless,12.375,"A single-dose-oriented grinder built around a 64mm flat hardened-steel burr set in a cast-aluminium grinding chamber with cooling ribs for heat dissipation. It uses a redesigned stepless grind adjustment allowing 0.1-step micro-adjustments, with an LC display visualising the grind size for repeatable settings. Retention is very low at about 0.2g or less, making it well suited to single dosing; the wide adjustment range covers espresso through filter brewing.",Stepless (Heycafe) per official - micron/step NA,
Coffee Grinder,https://honestcoffeeguide.com/hongbei-coffee-grinder-grind-settings/,Hongbei,Coffee Grinder,0,1400,1400,32,Stepless nut,43.75,"A compact portable manual hand grinder with a CNC-milled 38mm 440C stainless-steel conical burr, a machined anodised-aluminium housing and precision ball bearings, holding roughly 18g of beans. Grind size is set steplessly via a bottom adjustment nut from fine to coarse, with no marked scale. The stainless burr and ball-bearing-supported shaft give decent stability and durability for its class; marketed as a budget all-round grinder for home use and travel.",Stepless nut (Hongbei) - micron/step NA,
Manual Coffee Grinder,https://honestcoffeeguide.com/javapresse-manual-coffee-grinder-grind-settings/,Javapresse,Manual Coffee Grinder,170,1400,1230,18,External stepped dial (under-burr),68.33333333,"A budget hand grinder using 40mm ceramic conical burrs with an under-the-burr stepped adjustment ring offering roughly 18 click settings. Stainless steel body with a removable hand crank; ceramic burrs resist heat and wear but offer coarse, somewhat inconsistent grind uniformity. Intended as an entry-level manual grinder for drip, French press and casual brewing, with too much fines and bimodal distribution to satisfy serious espresso users. The wide stated range covers most brew methods but consistency degrades at the espresso-fine end.",OK - range matches source,
Groove Compact,https://honestcoffeeguide.com/joy-resolve-groove-compact-grind-settings/,Joy Resolve,Groove Compact,215,1400,1185,40,External stepped dial,29.625,"A compact portable electric grinder built around 38mm stainless steel conical burrs with a USB-rechargeable motor and a stepped external selector covering roughly 40 click positions. Sleek minimalist anodized aluminum body designed for travel and on-the-go single-cup brewing. Grind quality is acceptable for filter, AeroPress and French press but lacks the fine-end consistency for true espresso. Marketed as a stylish all-in-one travel grinder prioritizing portability over ultimate uniformity.",OK - range matches source,
Ceramic Coffee Mill,https://honestcoffeeguide.com/kaldi-ceramic-coffee-mill-grind-settings/,Kaldi,Ceramic Coffee Mill,0,1400,1400,12,Internal stepless nut,116.6666667,"A traditional Japanese-style manual mill using ceramic conical burrs with a stepless central adjustment nut beneath the hand crank for continuous grind control. Typically a glass or metal hopper and catch jar with a classic vintage aesthetic. The ceramic burrs are durable and corrosion-resistant, suited to filter, French press and general home brewing, though the open stepless mechanism makes precise repeatable settings harder. Best regarded as a decorative, casual-use grinder rather than a precision tool.",Stepless (Kaldi) - micron/step NA,
C-90,https://honestcoffeeguide.com/kalita-c-90-grind-settings/,Kalita,C-90,400,1400,1000,8,External stepped dial,125,"A compact electric home grinder from Kalita aimed at filter and pour-over brewing, with a small number of stepped adjustment positions (around 8). Plastic-bodied entry-level design intended for convenience and ease of use rather than precision. The limited range and coarse stepping mean it suits drip, French press and pour-over but not espresso. Grind consistency is modest, typical of low-cost electric box grinders.",OK - range matches source,
DIA Coffee Mill,https://honestcoffeeguide.com/kalita-dia-coffee-mill-grind-settings/,Kalita,DIA Coffee Mill,0,1400,1400,1.25,Internal stepless nut,1120,"A classic hand-crank mill from Kalita using ceramic conical burrs with a stepless adjustment nut for continuous grind sizing across a wide range. Features a retro design with wooden or metal accents and a drawer-style grounds catcher. Ceramic burrs provide durability and heat resistance, suited to filter, French press and everyday manual brewing. The stepless system offers flexibility but lacks precise repeatability, positioning it as a casual, aesthetic home grinder.",Stepless (Kalita) - micron/step NA,
Next G,https://honestcoffeeguide.com/kalita-next-g-grind-settings/,Kalita,Next G,470,1400,930,11,External stepped dial (dot scale),84.54545455,"A premium Japanese electric grinder using ceramic flat ghost-burrs with a low-speed motor and built-in static-reducing and fines-removing design, adjusted via a dotted scale of around 11 stepped positions. Robust build with a die-cast body, known for low heat generation and clean, uniform grinds favored for pour-over and filter coffee. Includes a static-elimination mechanism and a chaff/fines separator for cleaner cups. Highly regarded among Japanese pour-over enthusiasts for consistency and low retention.",OK - range matches source,
Nice Cut G,https://honestcoffeeguide.com/kalita-nice-cut-g-grind-settings/,Kalita,Nice Cut G,420,1400,980,6,External stepped dial,163.3333333,"A respected Japanese electric grinder using cast-iron or steel flat-style cutter burrs with a low-speed gear motor for reduced heat and static, adjusted across roughly 6 stepped positions. Sturdy metal-bodied design prized for clean, consistent filter and pour-over grinds with minimal fines. Long popular in Japanese specialty cafes and homes for its reliability and grind clarity. Not suited to espresso, but excellent for drip, V60 and French press.",OK - range matches source,
Hiku,https://honestcoffeeguide.com/kanso-hiku-grind-settings/,Kanso,Hiku,0,860,860,23,External stepped dial (rotation scale),37.39130435,"A minimalist hand grinder using 38mm stainless steel conical burrs housed in a clean cylindrical stainless body, with a numbered external rotation-based adjustment. Designed for portability and everyday filter, AeroPress and pour-over brewing with a focus on simple aesthetics. Grind consistency is good for the price in the medium-fine to medium range, though its capped range tops out below very coarse settings. Marketed as an approachable, well-built entry-to-mid hand grinder.",OK - range matches source,
K0,https://honestcoffeeguide.com/kingrinder-k0-grind-settings/,Kingrinder,K0,0,1030,1030,90,External stepped dial,11.44444444,"A compact 48mm stainless steel conical-burr manual grinder with external numbered click adjustment offering around 90 clicks for fine espresso-capable control. Aluminum body with a folding or detachable handle, positioned as the smallest, most travel-friendly model in the Kingrinder K-series. Delivers good uniformity for both espresso and filter at a budget price. The external adjustment makes dialing in fast and repeatable.",OK - range matches source,
K1,https://honestcoffeeguide.com/kingrinder-k1-grind-settings/,Kingrinder,K1,0,1030,1030,90,External stepped dial,11.44444444,"A 48mm stainless steel heptagonal conical-burr manual grinder featuring external numbered click adjustment with roughly 90 clicks for fine, repeatable control. Anodized aluminum body with a quality bearing-supported axle for stable, low-wobble grinding. Capable of espresso through French press with good consistency that punches above its price. The K1 is a popular value entry into precise external-adjust hand grinding.",OK - range matches source,
K2,https://honestcoffeeguide.com/kingrinder-k2-grind-settings/,Kingrinder,K2,0,1030,1030,90,External stepped dial,11.44444444,"A 48mm stainless steel conical-burr manual grinder with external numbered click dial offering about 90 clicks for finer espresso resolution. Sturdy aluminum construction with dual bearings for axle stability and consistent particle distribution. Suited to espresso, pour-over and French press, it is a mid-tier K-series model valued for reliable dial-in repeatability. Build and grind quality are strong for the budget segment.",OK - range matches source,
